3;Treppe Biologie;5.3;21;3;5,4,6,7,8,9
4;3.04-Biologie;4.7;21;3,3,5,7,8,9
5;3.01-Biologie;5.1;21.5;3;4,3,7
6;Haupteingang;7.55;21.8;3;7,8,9,10,11,12,13,14,15,16,17,18,19
7;Kreuzung Haupteingang Biologie;7.55;21;3;6,8,9,3,5,4,2,1,10,11,12,13,14,15,16,18,17,19
8;3.48;9.5;21.5;3;9,6,7,10.3,4,20
9;3.47;11.25;21.5;3;8,7,3,4,20
10;3.05-Putzraum;7.1;20;3;11,12,13,14,15,16,17,18,19,7,6,8
11;3.06-Putzraum;7.1;18.65;3;10,7,6,8,12,13,14,15,16,17,18,19
12;Putzraum vor Chemie;8.2;18.2;3;11,10,7,6,13,14,15,16,17,18,19
13;im Gang vor Chemie;7.1;17.5;3;11,10,7,6,12,14,15,16,17,18,19
14;vor Physik;7.1;13;3;15,16,17,18,19,13,10,11,12
15;im Hauptgang vor Physik;7.1;11.4;3;31,32,14,13,12,11,10,7,6,25,16,17,18,19,28,29,30,43,26,27,44,46
16;vor dem Jungsklo;7.1;10,3;3;17,18,19,28,29,30,43,14,15,6,7,10,11,12,13,26,25,27,46,44,45
17;mittlere Treppe Foyer;8.7;9.3;3;18,19,28,29,30,43,45,10,11,12,13,14,15,16,26,25,27,63,64,62,61,60,47
18;Maedchenklo;7.1;9;3;19,28,29,30,43,10,11,12,13,14,15,16,17,6,7,45,47,63,64,62,61,60,46
19;Hauptgang vor Hs Nw;7.1;7.9;3;11,12,14,17,18,33,34,6,7,28,29,30,26,25,43,44,45,64,63
20;Treppe Sitzecke;10.5;20.6;3;8,9,22,12
21;vor Big-Band Treppe;10.6;16.7;3;22,23,25
22;grosse Treppe bei Hausmeister;10.6;18.3;3;20,24,23,21,12
23;Ausgang Hausmeister;12.3;18.3;3;24,22,21
24;Hausmeister 2.01;12,6;19,5;3;23,22,21,25,26,28,29
25;Musikraum 2.02;11,6;14,8;3;21,26,27,14,15,16,17
26;Treppe Foyer;11,25;11,4;3;25,27,14,15,16,17,46,44,28,29,30,43
27;Zwischen Musikraeumen;12,7;12,6;3;26;25;46;44,43,18,16,15,14,28,29,30,21
28;Gang;10,1;7,4;3;29,75,19,17,18,14,44,26,45
29;Jungsklo 3.28;11,2;7,4;3;28,30,44,45,17,26,47
30;Maedchenklo 3.27;12,1;7,4;3;29,43,30,44,45,47,17,26
31;Treppe hoch Physik;5.4;11.4;3;32,15
32;Vor Physik;5,5;11.4;3;31,15
33;Treppe hoch;4,9;8,2;3;34,19 
34;Treppe runter bei Nw Hs;5.4;8.2;3;33,19
37;Chemie 3.07;4,7;17,5;3;38
38;Treppe runter Chemie;5,4;17,5;3;37,13
43;Gang neben Maedchenklo;13,55;7,4;3;30,81,82,44,45,17,64,63,47
44;Treppe hoch Foyer;13,55;9,6;3;45,43,28,29,30,17,19,27,26,25,81,82,63,64
45;Treppe hoch Sekretariat;14,5;9,25;3;43,44,28,29,30,81,47,46,17,18,19,63,64
46;Musik 2.03;14,7;11,4;3;45,27,48,49,54,47,17,26,18,15,16
47;Treppe hoch Eingang C;17,5;9,1;3;45,43,44,63,64,48,49,59,19,28,29,30
48;Eingang C;17,8;12,3;3;49,46,47,54
49;2.04;18,9;12,1;3;48,46,47
72;3.32;22.8;2.7;3;86,85,70
70;3.31;20.9;2.5;3;77,71,68,69
71;3.35;21.5;3.1;3;70,69,68
69;3.30;19.3;2.5;3;68,71,70
57;3.41;25.8;9.7;3;56,58
56;3.45;25.4;10.1;3;57,58,53,54
58;3.41.1;24.1;9.3;3;57,56,53,54,59
53;Treppe Lehrerzimmer Erdgeschoss.2;23.1;11.4;3;56,58,54,59,60
54;Treppe Lehrerzimmer Erdgeschoss;22.2;10.5;3;53,56,58,59,60
59;3.40;22.6;9.3;3;54,53,58,56,60
60;Gang.2;23.1;7.2;3;59,54,53,61,73
61;3.37;22.0;7.2;3;60,62
62;3.38;20.6;7.2;3;61,64
63;3.39;20.3;7.2;3;64,47,48,49
64;Gang.1;19.7;7.2;3;45,47,43,66,65
66;Treppe Innenhof Runter;19.8;5.3;3;65,68,64
65;Innenhof;19.3;5.2;3;66,64,68
68;3.29;19.7;3.1;3;65,66,64,69,71,70
75;3.18;9,7;5,3;3;76,77,28
76;Treppe runter 3.18;10.1;5;3;75,77
77;3.19;10.1;3.3;3;76,75,78,79,80
78;3.20;9.8;2.6;3;77,79,80
79;3.21;11.1;2.6;3;77,78,80,84
80;3.25;12;3.1;3;77,78,79,84
81;Treppe runter vor Innenhof;13.3;5.4;3;82,83,43,45
82;Eingang Innenhof;14;5.2;3;81,83,43
83;Treppe hoch vor Innenhof;13.3;4.8;3;81,82,88,84,87
84;3.22;13.3;2.7;3;87,88,83,79,80
87;3.23;14;2.6;3;84,88,79
88;3.24;13.7;3.2;3;84,87,83,81
85;3.33;20.4;2.7;3;86,77
90;3.42;25.8;9.7;3;56,58
91;3.43;25.8;9.7;3;56,58
86;3.43;23.1;3.1;3;73,85,72
73;Treppe U4 Runter;23.1;5.0;3;60,89,68,72
89;Treppe U4 Mitte;21.2;5.0;3;37,66

